Year Maxtemp
1973 88.0
1973 84.9
1973 88.9
1973 93.9
1973 90.0
1973 92.8
1973 91.9
1973 90.0
1973 90.9
1973 93.9
1973 91.9
1973 92.8
1973 92.8
1973 93.9
1973 84.9
1973 91.9
1973 90.9
1973 95.0
1973 91.9
1973 90.0
1973 90.0
1973 81.0
1973 84.9
1973 88.9
1973 90.0
1973 93.9
1973 91.9
1973 88.9
1973 88.9
1973 88.9
1973 79.0
1974 84.9
1974 93.0
1974 90.0
1974 91.9
1974 89.1
1974 84.0
1974 91.0
1974 87.1
1974 88.0
1974 93.0
1974 88.0
1974 88.0
1974 89.1
1974 91.9
1974 93.0
1974 91.0
1974 87.1
1974 89.1
1974 91.0
1974 93.0
1974 88.0
1974 90.0
1974 88.0
1974 93.0
1974 91.9
1974 95.0
1974 93.0
1974 95.0
1974 93.0
1974 93.0
1974 93.0
1975 90.0
1975 91.9
1975 91.0
1975 91.0
1975 91.0
1975 91.9
1975 91.0
1975 93.0
1975 88.0
1975 93.9
1975 91.0
1975 93.9
1975 90.0
1975 93.9
1975 91.9
1975 90.0
1975 91.0
1975 96.1
1975 97.0
1975 93.9
1975 93.0
1975 93.9
1975 96.1
1975 93.9
1975 93.0
1975 95.0
1975 91.9
1975 93.9
1975 88.0
1975 90.0
1975 90.0
1976 91.9
1976 91.0
1976 84.0
1976 82.9
1976 88.0
1976 91.0
1976 95.0
1976 95.0
1976 91.9
1976 93.0
1976 95.0
1976 93.9
1976 90.0
1976 89.1
1976 90.0
1976 91.9
1976 89.1
1976 81.0
1976 84.0
1976 79.0
1976 89.1
1976 93.0
1976 91.0
1976 90.0
1976 91.0
1976 91.9
1976 89.1
1976 91.0
1976 93.0
1976 93.9
1976 88.0
1977 84.9
1977 93.0
1977 95.0
1977 93.9
1977 91.9
1977 93.9
1977 93.0
1977 91.0
1977 91.0
1977 93.9
1977 91.0
1977 90.0
1977 84.9
1977 93.9
1977 93.0
1977 93.9
1977 91.9
1977 86.0
1977 86.0
1977 79.0
1977 82.9
1977 86.0
1977 89.1
1977 86.0
1977 91.0
1977 91.0
1977 82.9
1977 90.0
1977 89.1
1977 89.1
1977 88.0
1978 88.0
1978 89.1
1978 89.1
1978 91.0
1978 90.0
1978 86.0
1978 91.9
1978 87.1
1978 91.9
1978 91.0
1978 88.0
1978 89.1
1978 84.9
1978 91.0
1978 91.9
1978 91.0
1978 93.9
1978 91.9
1978 91.0
1978 93.9
1978 93.0
1978 90.0
1978 90.0
1978 90.0
1978 93.0
1978 93.0
1978 93.9
1978 93.0
1978 93.0
1978 95.0
1978 96.1
1979 88.0
1979 91.0
1979 90.0
1979 93.9
1979 93.9
1979 86.0
1979 91.0
1979 88.0
1979 93.0
1979 86.0
1979 84.9
1979 80.1
1979 86.0
1979 89.1
1979 91.0
1979 91.9
1979 90.0
1979 86.0
1979 93.0
1979 93.9
1979 95.0
1979 93.9
1979 91.0
1979 91.9
1979 91.0
1979 91.9
1979 89.1
1979 93.0
1979 91.0
1979 93.0
1979 91.9
1980 93.9
1980 93.0
1980 93.0
1980 95.0
1980 93.0
1980 93.0
1980 93.0
1980 93.0
1980 95.0
1980 95.0
1980 95.0
1980 93.9
1980 88.0
1980 86.0
1980 93.0
1980 91.9
1980 95.0
1980 89.1
1980 91.9
1980 95.0
1980 96.1
1980 97.0
1980 90.0
1980 89.1
1980 87.1
1980 86.0
1980 90.0
1980 91.9
1980 91.0
1980 91.0
1980 90.0
1981 91.0
1981 93.0
1981 90.0
1981 89.1
1981 90.0
1981 93.0
1981 91.9
1981 91.9
1981 91.9
1981 93.9
1981 91.9
1981 90.0
1981 91.0
1981 90.0
1981 91.9
1981 91.0
1981 91.9
1981 88.0
1981 89.1
1981 82.9
1981 82.9
1981 84.9
1981 88.0
1981 87.1
1981 89.1
1981 88.0
1981 89.1
1981 75.9
1981 88.0
1981 87.1
1981 89.1
1982 93.0
1982 87.1
1982 90.0
1982 89.1
1982 90.0
1982 89.1
1982 93.0
1982 91.9
1982 91.9
1982 90.0
1982 91.0
1982 90.0
1982 89.1
1982 90.0
1982 89.1
1982 91.9
1982 90.0
1982 77.0
1982 81.0
1982 89.1
1982 89.1
1982 91.0
1982 89.1
1982 91.9
1982 91.9
1982 95.0
1982 90.0
1982 93.0
1982 90.0
1982 84.9
1982 88.0
1983 91.0
1983 90.0
1983 91.0
1983 91.0
1983 90.0
1983 89.1
1983 89.1
1983 91.0
1983 91.9
1983 90.0
1983 87.1
1983 87.1
1983 89.1
1983 84.9
1983 89.1
1983 90.0
1983 89.1
1983 93.0
1983 95.0
1983 96.1
1983 96.1
1983 96.1
1983 93.9
1983 93.9
1983 89.1
1983 95.0
1983 95.0
1983 97.0
1983 93.9
1983 95.0
1983 91.9
1984 91.0
1984 91.0
1984 90.0
1984 93.0
1984 93.0
1984 96.1
1984 95.0
1984 95.0
1984 91.9
1984 93.9
1984 93.9
1984 93.0
1984 91.0
1984 93.0
1984 96.1
1984 95.0
1984 95.0
1984 90.0
1984 88.0
1984 84.9
1984 82.0
1984 86.0
1984 78.1
1984 90.0
1984 91.9
1984 87.1
1984 87.1
1984 88.0
1984 90.0
1984 89.1
1984 93.0
1985 89.1
1985 89.1
1985 82.9
